price,MatriculationMonth,MatriculationYear,km,cv,FuelType,gearboxType,Consume,city,province,Brand,Model,Preparation,Engine,Seats,ConsumeFuel,ConsumeFuelNotUrban,Emissions,Color,Metallizzato,Airbag,NumberDoors,EmissionClass,AirConditioning,Interior
11689,Marzo,2018,14874.0,125.0,Diesel,Cambio automatico,,Roma,Torino,VOLKSWAGEN,Polo,Polo 1.3 Base 5p.,2208.0,5.0,4.7,,127.0,Bianco,,nan,4 o 5 porte,nan,Climatizzatore manuale,
2458,No Mese,2012,91946.0,40.0,Diesel,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Passat,Passat 1.5 Base 5p.,521.0,7.0,5.6,,139.0,Bianco,,nan,2 o 3 porte,nan,nan,
2641,Gennaio,2010,105633.0,76.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Megane,Megane 1.7 Base 5p.,1104.0,7.0,4.1,,122.0,Nero,,Airbag anteriori e laterali,nan,Euro 6,nan,
2362,Gennaio,2006,126366.0,112.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,208,208 1.2 Sport 5p.,1798.0,4.0,7.7,,101.0,Bianco,,nan,nan,Euro 5,nan,
998,Gennaio,2007,258872.0,50.0,Diesel,Cambio manuale,,Roma,Torino,RENAULT,Megane,Megane 1.6 Base 5p.,773.0,5.0,4.0,,141.0,Grigio,,Airbag conducente,2 o 3 porte,nan,nan,
12594,Gennaio,2018,13386.0,91.0,Diesel,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.7 Comfort 5p.,1313.0,4.0,6.4,,173.0,Nero,,nan,4 o 5 porte,nan,Climatizzatore manuale,
5024,Marzo,2009,91865.0,108.0,Diesel,Cambio manuale,,Roma,Roma,AUDI,Q3,Q3 1.7 Comfort 5p.,1666.0,7.0,5.1,,124.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 6,nan,
4872,Marzo,2015,51953.0,80.0,Diesel,Cambio manuale,,Roma,Torino,RENAULT,Clio,Clio 1.8 Base 5p.,947.0,5.0,3.8,,129.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,Climatizzatore manuale,
4749,No Mese,2015,90511.0,84.0,Diesel,Cambio automatico,,Roma,Milano,VOLKSWAGEN,Golf,Golf 1.2 Business 5p.,1100.0,5.0,5.6,,130.0,Bianco,,Airbag conducente,4 o 5 porte,Euro 4,Climatizzatore manuale,
7538,No Mese,2018,10919.0,87.0,Benzina,Cambio manuale,,Roma,Roma,FORD,Fiesta,Fiesta 1.5 Business 5p.,1341.0,4.0,5.1,,94.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,nan,
7486,Gennaio,2014,30667.0,79.0,Diesel,Cambio manuale,,Roma,Torino,AUDI,A4,A4 1.2 Business 5p.,1018.0,5.0,6.0,,156.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore manuale,
2225,Gennaio,2011,186590.0,65.0,GPL,Cambio manuale,,Roma,Roma,FORD,Focus,Focus 1.3 Comfort 5p.,845.0,5.0,6.2,,125.0,Nero,,Airbag conducente,nan,Euro 5,nan,
47870,No Mese,2008,128545.0,251.0,Diesel,Cambio manuale,,Roma,Roma,FERRARI,California,California 1.7 Sport 5p.,3507.0,5.0,4.3,,95.0,Grigio,,Airbag anteriori e laterali,nan,Euro 5,nan,
1343,Gennaio,2006,203697.0,74.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,308,308 1.2 Base 5p.,1190.0,5.0,4.8,,116.0,Nero,,Airbag conducente,4 o 5 porte,Euro 5,Climatizzatore automatico,
10005,No Mese,2017,39554.0,131.0,GPL,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Passat,Passat 1.7 Sport 5p.,1538.0,5.0,4.7,,119.0,Nero,,Airbag anteriori e laterali,nan,nan,Climatizzatore automatico,
4417,Gennaio,2007,132408.0,109.0,Metano,Cambio manuale,,Roma,Torino,BMW,Serie 3,Serie 3 1.8 Comfort 5p.,1488.0,5.0,8.3,,123.0,Nero,,nan,nan,Euro 4,Climatizzatore automatico,
4453,Gennaio,2007,210156.0,135.0,Diesel,Cambio manuale,,Roma,Torino,BMW,Serie 3,Serie 3 1.2 Comfort 5p.,,5.0,3.8,,93.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 6,nan,
2357,Marzo,2010,241817.0,121.0,Diesel,Cambio manuale,,Roma,Milano,OPEL,Corsa,Corsa 1.7 Base 5p.,1631.0,5.0,5.1,,96.0,Grigio,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore automatico,
1337,Giugno,2005,265259.0,92.0,Diesel,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Passat,Passat 1.2 Comfort 5p.,1605.0,5.0,4.0,,152.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,nan,
5228,Marzo,2017,24778.0,88.0,Benzina,Cambio manuale,,Roma,Milano,PEUGEOT,208,208 1.8 Business 5p.,1208.0,4.0,7.4,,102.0,Nero,,Airbag conducente,2 o 3 porte,Euro 6,Climatizzatore automatico,
4904,No Mese,2018,20235.0,70.0,Benzina,Cambio manuale,,Roma,Torino,RENAULT,Megane,Megane 1.3 Base 5p.,1188.0,5.0,6.1,,87.0,Bianco,,nan,4 o 5 porte,Euro 6,Climatizzatore manuale,
2503,Gennaio,2005,336719.0,121.0,GPL,Cambio manuale,,Roma,Roma,BMW,Serie 3,Serie 3 1.2 Base 5p.,1755.0,7.0,3.5,,143.0,Bianco,,nan,4 o 5 porte,nan,Climatizzatore automatico,
5302,Marzo,2018,7444.0,62.0,Diesel,Cambio automatico,,Roma,Milano,OPEL,Corsa,Corsa 1.4 Comfort 5p.,904.0,5.0,5.2,,97.0,Nero,,nan,nan,Euro 5,Climatizzatore manuale,
4879,Giugno,2017,30509.0,80.0,Diesel,Cambio automatico,,Roma,Milano,FIAT,Tipo,Tipo 1.6 Comfort 5p.,1211.0,5.0,6.4,,134.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,Climatizzatore automatico,
7232,Giugno,2011,153098.0,161.0,GPL,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.3 Sport 5p.,2113.0,5.0,5.6,,155.0,Nero,,Airbag anteriori e laterali,4 o 5 porte,Euro 5,Climatizzatore manuale,
715,Gennaio,2003,192982.0,55.0,Diesel,Cambio manuale,,Roma,Roma,FIAT,500,500 1.6 Base 5p.,786.0,5.0,6.0,,127.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,Climatizzatore automatico,
1689,Gennaio,2004,192272.0,104.0,Benzina,Cambio manuale,,Roma,Roma,FORD,Fiesta,Fiesta 1.4 Business 5p.,1295.0,7.0,6.0,,155.0,Bianco,,nan,2 o 3 porte,nan,Climatizzatore manuale,
10589,Gennaio,2019,500.0,119.0,Diesel,Cambio manuale,,Roma,Torino,VOLKSWAGEN,Passat,Passat 1.3 Base 5p.,1590.0,5.0,5.4,,102.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,nan,
5630,No Mese,2019,500.0,63.0,Diesel,Cambio manuale,,Roma,Roma,FORD,Fiesta,Fiesta 1.5 Business 5p.,974.0,5.0,5.3,,149.0,Bianco,,Airbag anteriori e laterali,nan,Euro 5,Climatizzatore manuale,
5873,Gennaio,2014,62686.0,123.0,Benzina,Cambio manuale,,Roma,Torino,PEUGEOT,308,308 1.3 Business 5p.,1887.0,7.0,4.7,,159.0,Bianco,,nan,2 o 3 porte,Euro 4,Climatizzatore automatico,
2081,Gennaio,2008,104842.0,84.0,Diesel,Cambio manuale,,Roma,Milano,OPEL,Astra,Astra 1.2 Base 5p.,1355.0,5.0,6.5,,158.0,Bianco,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore automatico,
6797,Giugno,2008,12851.0,144.0,Diesel,Cambio manuale,,Roma,Roma,BMW,X1,X1 1.4 Base 5p.,1892.0,7.0,5.4,,120.0,Bianco,,Airbag conducente,nan,Euro 4,Climatizzatore automatico,
4409,Gennaio,2015,55188.0,102.0,Diesel,Cambio manuale,,Roma,Milano,OPEL,Corsa,Corsa 1.5 Base 5p.,1360.0,5.0,6.4,,92.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,Climatizzatore automatico,
4535,Giugno,2008,217128.0,143.0,Diesel,Cambio manuale,,Roma,Roma,AUDI,Q3,Q3 1.3 Comfort 5p.,2231.0,7.0,7.1,,141.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore automatico,
6857,Gennaio,2019,500.0,96.0,Benzina,Cambio manuale,,Roma,Milano,FORD,Focus,Focus 1.5 Sport 5p.,1122.0,5.0,5.8,,87.0,Nero,,Airbag conducente,2 o 3 porte,Euro 5,Climatizzatore automatico,
3902,Giugno,2013,132615.0,95.0,Diesel,Cambio manuale,,Roma,Torino,OPEL,Corsa,Corsa 1.6 Base 5p.,1485.0,5.0,6.5,,141.0,Grigio,,Airbag conducente,4 o 5 porte,nan,nan,
6192,Marzo,2014,40762.0,96.0,Metano,Cambio automatico,,Roma,Milano,OPEL,Corsa,Corsa 1.8 Sport 5p.,1303.0,5.0,6.6,,127.0,Grigio,,Airbag conducente,nan,Euro 4,Climatizzatore manuale,
2129,Gennaio,2011,75786.0,58.0,Diesel,Cambio manuale,,Roma,Torino,FIAT,Tipo,Tipo 1.7 Sport 5p.,818.0,5.0,5.4,,98.0,Grigio,,nan,2 o 3 porte,Euro 4,nan,
3157,Gennaio,2007,183020.0,133.0,Benzina,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Polo,Polo 1.6 Base 5p.,2200.0,5.0,5.1,,156.0,Grigio,,nan,4 o 5 porte,Euro 5,nan,
5572,No Mese,2019,500.0,66.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Panda,Panda 1.7 Business 5p.,1018.0,5.0,4.7,,138.0,Grigio,,nan,4 o 5 porte,Euro 4,Climatizzatore manuale,
1931,No Mese,2007,243615.0,96.0,Diesel,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Passat,Passat 1.6 Business 5p.,1240.0,7.0,4.8,,115.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,Climatizzatore manuale,
2153,No Mese,2013,62949.0,61.0,Diesel,Cambio manuale,,Roma,Roma,FIAT,Panda,Panda 1.4 Sport 5p.,874.0,5.0,5.0,,75.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore automatico,
4474,Gennaio,2011,69690.0,134.0,Benzina,Cambio automatico,,Roma,Milano,FORD,Focus,Focus 1.4 Business 5p.,1540.0,5.0,7.3,,122.0,Nero,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore manuale,
4899,Giugno,2013,38361.0,125.0,Diesel,Cambio manuale,,Roma,Milano,FORD,Focus,Focus 1.8 Sport 5p.,1738.0,5.0,6.4,,132.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,nan,Climatizzatore manuale,
15407,Gennaio,2019,500.0,132.0,Benzina,Cambio manuale,,Roma,Roma,BMW,Serie 3,Serie 3 1.3 Business 5p.,1607.0,5.0,4.5,,135.0,Grigio,,Airbag anteriori e laterali,nan,Euro 5,Climatizzatore manuale,
18235,Giugno,2018,22870.0,159.0,Diesel,Cambio manuale,,Roma,Torino,AUDI,A4,A4 1.8 Business 5p.,2215.0,5.0,7.2,,127.0,Bianco,,nan,4 o 5 porte,nan,nan,
3480,No Mese,2011,93291.0,142.0,Benzina,Cambio manuale,,Roma,Milano,RENAULT,Megane,Megane 1.6 Sport 5p.,1957.0,4.0,7.3,,175.0,Grigio,,Airbag anteriori e laterali,nan,Euro 6,Climatizzatore automatico,
1863,No Mese,2007,216641.0,93.0,GPL,Cambio manuale,,Roma,Torino,PEUGEOT,208,208 1.3 Comfort 5p.,1374.0,7.0,7.2,,152.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 4,Climatizzatore manuale,
2780,No Mese,2009,150279.0,119.0,Diesel,Cambio automatico,,Roma,Torino,OPEL,Astra,Astra 1.5 Sport 5p.,1742.0,5.0,6.2,,77.0,Nero,,Airbag anteriori e laterali,4 o 5 porte,Euro 5,Climatizzatore manuale,
4532,Marzo,2013,132972.0,108.0,Diesel,Cambio automatico,,Roma,Torino,VOLKSWAGEN,Polo,Polo 1.2 Comfort 5p.,1431.0,5.0,5.1,,142.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,nan,
5112,No Mese,2018,16512.0,49.0,Diesel,Cambio manuale,,Roma,Torino,VOLKSWAGEN,Passat,Passat 1.4 Comfort 5p.,711.0,5.0,3.9,,151.0,Grigio,,nan,2 o 3 porte,nan,Climatizzatore automatico,
4633,Gennaio,2016,44739.0,76.0,Benzina,Cambio manuale,,Roma,Roma,RENAULT,Megane,Megane 1.5 Base 5p.,997.0,4.0,5.5,,130.0,Bianco,,Airbag conducente,4 o 5 porte,nan,nan,
7135,Marzo,2007,39980.0,183.0,Diesel,Cambio automatico,,Roma,Milano,AUDI,Q3,Q3 1.2 Business 5p.,2070.0,4.0,3.9,,123.0,Nero,,Airbag anteriori e laterali,2 o 3 porte,Euro 5,Climatizzatore automatico,
3040,Giugno,2013,102515.0,89.0,Benzina,Cambio manuale,,Roma,Roma,PEUGEOT,308,308 1.7 Sport 5p.,1122.0,5.0,3.6,,119.0,Nero,,Airbag anteriori e laterali,nan,Euro 4,Climatizzatore manuale,
5649,Gennaio,2004,63186.0,164.0,Diesel,Cambio manuale,,Roma,Milano,BMW,Serie 3,Serie 3 1.3 Comfort 5p.,2168.0,4.0,5.1,,119.0,Nero,,Airbag conducente,nan,Euro 5,Climatizzatore automatico,
4435,Gennaio,2009,101081.0,109.0,Diesel,Cambio automatico,,Roma,Torino,BMW,Serie 1,Serie 1 1.7 Comfort 5p.,1497.0,5.0,5.7,,141.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 5,Climatizzatore manuale,
3264,Marzo,2012,102277.0,79.0,Diesel,Cambio manuale,,Roma,Milano,PEUGEOT,208,208 1.6 Base 5p.,1223.0,5.0,6.6,,106.0,Grigio,,nan,4 o 5 porte,nan,nan,
5293,Marzo,2012,131689.0,124.0,Benzina,Cambio automatico,,Roma,Torino,VOLKSWAGEN,Passat,Passat 1.5 Comfort 5p.,1514.0,5.0,4.9,,64.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,nan,nan,
2399,Gennaio,2008,143904.0,119.0,Metano,Cambio manuale,,Roma,Milano,RENAULT,Megane,Megane 1.3 Business 5p.,1741.0,4.0,6.1,,136.0,Grigio,,Airbag conducente,nan,Euro 4,Climatizzatore automatico,
2526,Marzo,2011,172129.0,86.0,Benzina,Cambio automatico,,Roma,Torino,OPEL,Corsa,Corsa 1.5 Base 5p.,1198.0,5.0,3.6,,154.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,nan,
3388,Giugno,2017,31870.0,48.0,GPL,Cambio automatico,,Roma,Torino,FIAT,500,500 1.4 Sport 5p.,650.0,5.0,5.4,,137.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,Euro 6,Climatizzatore automatico,
5182,Gennaio,2018,14346.0,52.0,Metano,Cambio manuale,,Roma,Milano,FORD,Fiesta,Fiesta 1.6 Business 5p.,660.0,5.0,6.4,,179.0,Bianco,,nan,2 o 3 porte,Euro 6,nan,
4452,Gennaio,2014,77150.0,119.0,Diesel,Cambio manuale,,Roma,Milano,FORD,Fiesta,Fiesta 1.8 Comfort 5p.,1690.0,7.0,4.9,,146.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 6,nan,
1007,No Mese,2006,248581.0,85.0,Benzina,Cambio automatico,,Roma,Torino,FIAT,Panda,Panda 1.3 Base 5p.,1315.0,5.0,6.2,,138.0,Nero,,nan,nan,Euro 6,Climatizzatore automatico,
974,No Mese,2005,242021.0,74.0,Benzina,Cambio manuale,,Roma,Milano,OPEL,Astra,Astra 1.8 Base 5p.,1047.0,5.0,7.7,,145.0,Nero,,nan,nan,nan,Climatizzatore manuale,
4500,Giugno,2015,67040.0,101.0,Benzina,Cambio manuale,,Roma,Milano,OPEL,Astra,Astra 1.4 Sport 5p.,951.0,5.0,4.8,,159.0,Bianco,,Airbag conducente,4 o 5 porte,Euro 6,Climatizzatore manuale,
2044,Giugno,2008,145816.0,95.0,Diesel,Cambio automatico,,Roma,Torino,FIAT,500,500 1.8 Comfort 5p.,1497.0,7.0,7.0,,184.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,nan,Climatizzatore manuale,
6892,Gennaio,2014,37019.0,129.0,Benzina,Cambio manuale,,Roma,Milano,VOLKSWAGEN,Passat,Passat 1.8 Business 5p.,1544.0,7.0,6.2,,138.0,Nero,,Airbag conducente,2 o 3 porte,Euro 4,Climatizzatore manuale,
12583,Giugno,2016,33117.0,132.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.7 Comfort 5p.,1762.0,4.0,4.1,,112.0,Nero,,Airbag conducente,nan,Euro 5,Climatizzatore manuale,
2259,Gennaio,2008,169628.0,126.0,Diesel,Cambio automatico,,Roma,Torino,RENAULT,Clio,Clio 1.8 Base 5p.,1796.0,7.0,6.5,,83.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 6,nan,
11772,No Mese,2018,9998.0,150.0,Benzina,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Polo,Polo 1.6 Sport 5p.,2377.0,5.0,5.3,,90.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,nan,nan,
17675,Giugno,2018,11660.0,114.0,Benzina,Cambio manuale,,Roma,Torino,AUDI,A3,A3 1.2 Base 5p.,1579.0,4.0,6.2,,109.0,Grigio,,Airbag anteriori e laterali,nan,nan,Climatizzatore manuale,
5737,Marzo,2015,52742.0,78.0,Diesel,Cambio automatico,,Roma,Torino,RENAULT,Clio,Clio 1.2 Comfort 5p.,1110.0,4.0,5.6,,99.0,Grigio,,Airbag anteriori e laterali,2 o 3 porte,nan,Climatizzatore automatico,
1599,Gennaio,2007,274793.0,126.0,Diesel,Cambio manuale,,Roma,Roma,PEUGEOT,208,208 1.7 Sport 5p.,1994.0,5.0,3.1,,158.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,Climatizzatore manuale,
5531,Marzo,2006,191980.0,165.0,Diesel,Cambio manuale,,Roma,Roma,MERCEDES-BENZ,Classe C,Classe C 1.4 Business 5p.,2510.0,5.0,4.8,,104.0,Bianco,,Airbag conducente,nan,Euro 5,Climatizzatore manuale,
3470,Marzo,2015,80087.0,86.0,Benzina,Cambio manuale,,Roma,Milano,OPEL,Astra,Astra 1.7 Comfort 5p.,1182.0,4.0,3.9,,145.0,Grigio,,nan,nan,nan,nan,
4857,Marzo,2019,500.0,40.0,Diesel,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Passat,Passat 1.7 Comfort 5p.,672.0,4.0,4.1,,156.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,Euro 5,nan,
3908,Giugno,2007,188780.0,124.0,Diesel,Cambio manuale,,Roma,Torino,BMW,Serie 1,Serie 1 1.2 Business 5p.,1584.0,5.0,5.7,,131.0,Nero,,nan,4 o 5 porte,Euro 6,Climatizzatore manuale,
3455,Marzo,2004,130547.0,130.0,Benzina,Cambio manuale,,Roma,Torino,MERCEDES-BENZ,Classe A,Classe A 1.2 Sport 5p.,1559.0,4.0,6.2,,139.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 5,Climatizzatore manuale,
5196,No Mese,2016,66267.0,99.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Clio,Clio 1.5 Sport 5p.,1622.0,7.0,4.5,,124.0,Grigio,,nan,2 o 3 porte,Euro 4,Climatizzatore automatico,
3102,No Mese,2004,110591.0,102.0,Benzina,Cambio manuale,,Roma,Roma,BMW,X1,X1 1.6 Base 5p.,1211.0,5.0,4.4,,142.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 5,Climatizzatore automatico,
9170,Gennaio,2013,76714.0,116.0,GPL,Cambio automatico,,Roma,Roma,MERCEDES-BENZ,Classe A,Classe A 1.5 Base 5p.,1648.0,5.0,5.6,,133.0,Nero,,Airbag anteriori e laterali,nan,Euro 6,nan,
1422,Gennaio,2006,96155.0,94.0,Elettrico,Cambio manuale,,Roma,Milano,FIAT,500,500 1.8 Base 5p.,1398.0,7.0,5.0,,148.0,Nero,,nan,4 o 5 porte,Euro 5,nan,
2938,No Mese,2005,189437.0,94.0,Diesel,Cambio automatico,,Roma,Milano,AUDI,Q3,Q3 1.3 Business 5p.,1263.0,4.0,5.1,,92.0,Bianco,,Airbag conducente,2 o 3 porte,Euro 4,nan,
4636,Giugno,2015,58775.0,68.0,Diesel,Cambio automatico,,Roma,Milano,RENAULT,Clio,Clio 1.8 Sport 5p.,878.0,5.0,4.0,,116.0,Grigio,,nan,4 o 5 porte,nan,Climatizzatore automatico,
1512,Gennaio,2004,225686.0,99.0,Diesel,Cambio automatico,,Roma,Milano,OPEL,Corsa,Corsa 1.5 Comfort 5p.,1170.0,7.0,7.9,,117.0,Bianco,,nan,nan,Euro 5,Climatizzatore automatico,
3606,No Mese,2007,292056.0,110.0,Diesel,Cambio manuale,,Roma,Milano,MERCEDES-BENZ,Classe C,Classe C 1.6 Comfort 5p.,1538.0,5.0,6.5,,128.0,Grigio,,Airbag anteriori e laterali,4 o 5 porte,Euro 4,Climatizzatore manuale,
5187,Gennaio,2012,139511.0,106.0,Benzina,Cambio manuale,,Roma,Torino,AUDI,A4,A4 1.3 Sport 5p.,1489.0,5.0,5.6,,108.0,Nero,,Airbag conducente,2 o 3 porte,nan,nan,
4822,Gennaio,2017,34585.0,79.0,Diesel,Cambio manuale,,Roma,Milano,FIAT,Panda,Panda 1.7 Sport 5p.,1225.0,5.0,5.3,,144.0,Nero,,nan,2 o 3 porte,Euro 6,nan,
4228,Marzo,2017,19172.0,67.0,Diesel,Cambio manuale,,Roma,Roma,RENAULT,Megane,Megane 1.7 Comfort 5p.,988.0,7.0,4.4,,125.0,Grigio,,Airbag conducente,4 o 5 porte,Euro 6,nan,
3131,No Mese,2004,75553.0,102.0,Diesel,Cambio manuale,,Roma,Torino,BMW,Serie 3,Serie 3 1.5 Comfort 5p.,1540.0,5.0,7.2,,142.0,Bianco,,nan,4 o 5 porte,Euro 6,nan,
5980,No Mese,2014,60804.0,56.0,Diesel,Cambio automatico,,Roma,Milano,AUDI,A3,A3 1.4 Comfort 5p.,751.0,5.0,5.7,,122.0,Bianco,,Airbag anteriori e laterali,4 o 5 porte,nan,nan,
2959,No Mese,2014,100889.0,65.0,Benzina,Cambio manuale,,Roma,Roma,VOLKSWAGEN,Passat,Passat 1.2 Business 5p.,960.0,4.0,3.3,,105.0,Bianco,,Airbag anteriori e laterali,2 o 3 porte,nan,Climatizzatore manuale,
